corridor,address,pin,proptype,lotsqft,frontage_ft,depth_ft
Stone Way N,3400 STONE WAY N,1825049072,C,17424,154.2,146.4
Stone Way N,3409 STONE WAY N,1825049116,C,11438,125.8,101.9
Stone Way N,3415 STONE WAY N,1825049071,C,17255,268.2,240.2
Stone Way N,3425 STONE WAY N,1825049122,C,3789,74.8,64.8
Stone Way N,3500 STONE WAY N,1825049136,C,16489,136.4,150.4
Stone Way N,3501 STONE WAY N,1825049124,C,2700,35.3,115.2
Stone Way N,3509 STONE WAY N,1825049073,C,4565,43.7,117.9
Stone Way N,3513 STONE WAY N,1825049123,C,4609,43.7,118.9
Stone Way N,3517 STONE WAY N,1825049087,C,4656,43.7,119.9
Stone Way N,3524 STONE WAY N,1825049074,C,34163,259.7,145.3
Stone Way N,3525 STONE WAY N,1825049079,C,14181,123.7,125.0
Stone Way N,3601 STONE WAY N,8033700175,C,14628,121.5,129.2
Stone Way N,3616 STONE WAY N,8033700250,C,27323,242.8,128.1
Stone Way N,3617 STONE WAY N,8033700165,C,10320,81.7,130.0
Stone Way N,3620 STONE WAY N,8033700251,C,1140,57.5,22.9
Stone Way N,3621 STONE WAY N,8033700160,C,5200,42.1,129.8
Stone Way N,3627 STONE WAY N,8033700140,C,18900,141.9,135.9
Stone Way N,3633 STONE WAY N,8033700130,C,10960,83.2,136.2
Stone Way N,3636 STONE WAY N,8033700215,C,30920,283.1,121.4
Stone Way N,3647 STONE WAY N,8033700125,C,8280,59.8,137.0
Stone Way N,3665 STONE WAY N,8033700100,C,29942,211.3,146.0
Stone Way N,3670 STONE WAY N,8033700190,C,22100,213.2,114.8
Stone Way N,3801 STONE WAY N,8033700070,C,6000,45.2,150.1
Stone Way N,3810 STONE WAY N,2264501015,C,19004,209.8,109.2
Stone Way N,3822 STONE WAY N,8033700025,C,7700,82.5,100.3
Stone Way N,3829 STONE WAY N,8033700060,C,6080,42.9,152.2
Stone Way N,3830 STONE WAY N,8033700010,C,10643,122.1,99.6
Stone Way N,3831 STONE WAY N,8033700050,C,16638,128.7,158.1
Stone Way N,3842 STONE WAY N,8033700005,C,3400,46.1,94.4
Stone Way N,3901 STONE WAY N,3975400320,C,2800,74.4,91.0
Stone Way N,3920 STONE WAY N,8029850000,K,45380,437.0,133.1
Stone Way N,3925 STONE WAY N,3975400295,C,13200,181.0,102.0
Stone Way N,3931 STONE WAY N,3975400280,C,11898,122.0,103.6
Stone Way N,4003 STONE WAY N,3975400430,C,4123,42.2,105.1
Stone Way N,4009 STONE WAY N,3975400425,C,4172,42.2,106.2
Stone Way N,4010 STONE WAY N,4452300055,C,16368,159.9,140.2
Stone Way N,4015 STONE WAY N,3975400420,C,4222,42.2,107.4
Stone Way N,4025 STONE WAY N,3975400400,C,9831,92.3,113.2
Stone Way N,4026 STONE WAY N,8029400000,K,4180,54.1,82.7
Stone Way N,4032 STONE WAY N,3975400495,C,4250,50.6,83.8
Stone Way N,4035 STONE WAY N,3975400385,C,13600,122.4,117.4
Stone Way N,4038 STONE WAY N,3975400490,C,4150,52.2,82.5
Stone Way N,4102 STONE WAY N,0072000115,C,5434,52.3,110.5
Stone Way N,4103 STONE WAY N,0072000070,C,2270,40.9,60.4
Stone Way N,4105 STONE WAY N,0072000075,C,3271,80.2,73.4
Stone Way N,4106 STONE WAY N,1825049095,C,22119,211.3,118.1
Stone Way N,4111 STONE WAY N,0072000090,C,4198,42.3,106.6
Stone Way N,4115 STONE WAY N,0072000095,C,3594,36.2,107.4
Stone Way N,4117 STONE WAY N,2293900230,C,3207,32.4,110.3
Stone Way N,4129 STONE WAY N,2293900205,C,8989,82.5,115.0
Stone Way N,4135 STONE WAY N,2293900185,C,13841,122.9,119.2
Stone Way N,4200 STONE WAY N,8690300005,C,13250,109.2,130.7
Stone Way N,4205 STONE WAY N,1825049019,C,5600,113.2,53.1
Stone Way N,4205 STONE WAY N,1825049022,C,1600,64.5,28.0
Stone Way N,4213 STONE WAY N,2306400085,C,19879,173.5,125.7
Stone Way N,4214 STONE WAY N,8690300055,C,3550,38.1,101.9
Stone Way N,4218 STONE WAY N,8690300045,C,3700,39.6,102.0
Stone Way N,4222 STONE WAY N,8690300040,C,3609,40.1,102.0
Stone Way N,4228 STONE WAY N,2513500030,C,4610,43.0,116.9
Stone Way N,4230 STONE WAY N,2513500035,C,3531,42.3,90.9
Stone Way N,4231 STONE WAY N,1825049083,C,5189,61.3,91.7
Stone Way N,4301 STONE WAY N,1825049006,C,6970,110.8,69.2
Stone Way N,4302 STONE WAY N,2513000035,C,10398,100.2,112.5
Stone Way N,4307 STONE WAY N,7821200860,C,13750,112.2,128.4
Stone Way N,4312 STONE WAY N,7821200840,C,9337,128.1,110.9
Stone Way N,4318 STONE WAY N,7821200841,C,3185,67.9,51.9
Stone Way N,4400 STONE WAY N,7821200620,C,60088,205.5,308.4
Stone Way N,4453 STONE WAY N,7821200340,C,11500,102.2,119.0
Stone Way N,4468 STONE WAY N,7821200160,C,23064,197.3,124.1
N/NE 45th St,100 NE 45TH ST,8818400025,R,643,20.8,32.7
N/NE 45th St,102 NE 45TH ST,8818400024,R,671,21.7,32.7
N/NE 45th St,111 NE 45TH ST,3131200340,C,21819,207.1,112.6
N/NE 45th St,118 NE 45TH ST,8818400005,C,17633,166.4,112.0
N/NE 45th St,1215 N 45TH ST,7821200275,C,19713,210.2,99.1
N/NE 45th St,1220 N 45TH ST,6865200955,C,31880,168.7,198.1
N/NE 45th St,1235 N 45TH ST,7821200255,C,9841,121.3,97.3
N/NE 45th St,1310 N 45TH ST,6865200905,C,12600,85.2,195.4
N/NE 45th St,1318 N 45TH ST,6865200940,C,2160,32.0,85.9
N/NE 45th St,1320 N 45TH ST,6865200935,C,2000,51.7,62.8
N/NE 45th St,1326 N 45TH ST,6865200945,C,2580,32.3,86.5
N/NE 45th St,1400 N 45TH ST,6865200865,C,3135,35.9,95.6
N/NE 45th St,1401 N 45TH ST,7821200045,C,9500,102.6,95.6
N/NE 45th St,1406 N 45TH ST,6865200866,C,3183,36.2,95.6
N/NE 45th St,1408 N 45TH ST,6865200870,C,3183,36.0,95.6
N/NE 45th St,1411 N 45TH ST,7821200035,C,3563,40.2,94.4
N/NE 45th St,1412 N 45TH ST,6865200875,R,3895,42.4,95.8
N/NE 45th St,1415 N 45TH ST,7821200030,C,3563,40.2,94.5
N/NE 45th St,1419 N 45TH ST,7821200020,C,3325,37.7,94.5
N/NE 45th St,1420 N 45TH ST,6865200880,C,15654,165.9,98.1
N/NE 45th St,1423 N 45TH ST,7821200015,C,3800,42.7,94.6
N/NE 45th St,1427 N 45TH ST,7821200006,C,2926,33.5,94.5
N/NE 45th St,1429 N 45TH ST,7821200005,C,2952,33.7,94.5
N/NE 45th St,1501 N 45TH ST,4083300310,C,10260,116.6,92.1
N/NE 45th St,1600 N 45TH ST,4083803140,C,5890,63.9,96.1
N/NE 45th St,1601 N 45TH ST,9134200000,K,13669,117.4,122.1
N/NE 45th St,1608 N 45TH ST,4083803155,C,3800,42.5,95.7
N/NE 45th St,1612 N 45TH ST,4083803165,C,3325,37.7,95.6
N/NE 45th St,1616 N 45TH ST,4083803175,C,3800,41.9,95.7
N/NE 45th St,1618 N 45TH ST,4083803185,C,6175,67.0,96.2
N/NE 45th St,1624 N 45TH ST,4083803200,C,3325,37.1,95.6
N/NE 45th St,1628 N 45TH ST,4083803210,C,2375,27.2,95.4
N/NE 45th St,1629 N 45TH ST,0480000005,C,17100,118.3,152.4
N/NE 45th St,1700 N 45TH ST,4083802980,C,9500,102.2,96.9
N/NE 45th St,1701 N 45TH ST,4083300280,C,18620,116.6,182.8
N/NE 45th St,1711 N 45TH ST,4083300180,C,3500,37.9,100.9
N/NE 45th St,1715 N 45TH ST,4083300160,C,3800,40.9,100.9
N/NE 45th St,1722 N 45TH ST,4083803006,C,14200,152.1,97.8
N/NE 45th St,1723 N 45TH ST,4083300170,C,6000,62.9,101.4
N/NE 45th St,1815 N 45TH ST,4083300140,C,75112,237.8,336.5
N/NE 45th St,1820 N 45TH ST,4083802905,C,9500,102.2,96.8
N/NE 45th St,1900 N 45TH ST,4083802735,C,3895,43.2,95.7
N/NE 45th St,1901 N 45TH ST,4083300130,C,3600,42.6,91.0
N/NE 45th St,1904 N 45TH ST,4083802745,C,5320,58.2,96.0
N/NE 45th St,1910 N 45TH ST,4083802760,C,5035,55.2,96.0
N/NE 45th St,1911 N 45TH ST,4083300115,C,3600,45.9,91.2
N/NE 45th St,1916 N 45TH ST,4083802775,C,4750,52.2,95.9
N/NE 45th St,1919 N 45TH ST,4083300005,C,20400,121.7,173.1
N/NE 45th St,1920 N 45TH ST,4083802785,C,4750,52.2,96.0
N/NE 45th St,1928 N 45TH ST,4083802795,C,4750,52.2,96.0
N/NE 45th St,201 NE 45TH ST,3131200464,C,7187,104.0,73.3
N/NE 45th St,210 NE 45TH ST,8818400105,C,20400,206.9,105.4
N/NE 45th St,2100 N 45TH ST,0510000735,C,10408,116.3,94.3
N/NE 45th St,2101 N 45TH ST,0510002555,C,2845,40.1,75.9
