corridor,counted,reason_if_excluded,address,permitnum,permittype,permitclass,issued_year,issued_date,status,units_added,units_removed,net_units,description
N/NE 45th St,True,,2205 N 45TH ST,6062611-CN,New,Multifamily,2004,2004-12-22,Completed,43.0,0.0,43.0,Demolish existing commercial structure and construct a new mixed-use building with retail  43 apartment units and underg
N/NE 45th St,False,lat 47.73395783 not on 45th line,1253 N 145TH ST,6077818-CN,Addition/Alteration,Multifamily,2005,2005-11-14,Completed,1.0,0.0,0,ALTERATIONS TO BASEMENT OF 3-UNIT APARTMENT ESTABLISH 4TH UNIT IN BASEMENT AND OCCUPY PER PLAN
N/NE 45th St,True,,1220 N 45TH ST,6094021-CN,New,Commercial,2006,2006-04-11,Completed,44.0,0.0,44.0,Construct a new 4-story mixed-use building with one level of underground parking  retail and restaurant space on the mai
N/NE 45th St,False,lng -122.36164691 W of Stone Way,316 NW 45TH ST,6093871-DM,,Single Family/Duplex,2006,2006-06-06,Completed,0.0,1.0,0,Demolish existing single family residence  subject to field inspection.
N/NE 45th St,True,,2414 N 45TH ST,6096542-CN,Addition/Alteration,Commercial,2006,2006-09-13,Completed,1.0,0.0,1.0,Change of use from restaurant to single family dwellg and alter to convert a restaurant to a dwellg unit includg constru
N/NE 45th St,False,lng -122.35279817 W of Stone Way,461 N 45TH ST,6105758-CN,Addition/Alteration,Multifamily,2006,2006-11-22,Completed,1.0,0.0,0,Establish use for the record existing unit in basement; alterations to such basement unit included - occupy per plans.
N/NE 45th St,False,lng -122.36006153 W of Stone Way,222 NW 45TH ST,6132148-CN,New,Single Family/Duplex,2007,2007-07-27,Completed,1.0,0.0,0,Establish use as a single family residence and construct a 3 story one family dwelling with attached garage per plan.
N/NE 45th St,False,lng -122.36006153 W of Stone Way,222 NW 45TH ST,6140426-DM,,Single Family/Duplex,2007,2007-07-30,Completed,0.0,1.0,0,Demolish existing one family dwelling and detached garage  subject to field inspection.
N/NE 45th St,False,lat 47.73366873 not on 45th line,1717 NE 145TH ST,6153206-DM,,Single Family/Duplex,2007,2007-09-10,Completed,0.0,1.0,0,Demolish existing single family residence and detached garage  per Abatement Order #1013187  subject to field inspection
N/NE 45th St,False,lng -122.36006153 W of Stone Way,222 NW 45TH ST,6149905-CN,New,Single Family/Duplex,2008,2008-04-10,Completed,1.0,0.0,0,Establish use and construct one single family residence with attached garage on vacant land  per plan.
N/NE 45th St,True,,2319 N 45TH ST,6088639-CN,New,Commercial,2008,2008-05-13,Completed,2.0,0.0,2.0,Construct mixed-use building including 2 residential units/office and parking occupy per plans.(review and processing fo
N/NE 45th St,False,lng -122.28975035 E of I-5,3505 NE 45TH ST,6202168-CN,Addition/Alteration,Multifamily,2008,2008-11-26,Completed,4.0,0.0,0,Complete townhomes  permitted under AP#6095901  per plan.
N/NE 45th St,False,lng -122.28450906 E of I-5,4002 NE 45TH ST,6254897-DM,Demolition,Multifamily,2010,2010-12-08,Completed,0.0,2.0,0,Demolition of Condominium Building - Laurelon Bldg #1 and remove / relocate trees(review and process 19 demolition permi
N/NE 45th St,False,lng -122.28427861 E of I-5,4006 NE 45TH ST,6258727-DM,Demolition,Multifamily,2010,2010-12-08,Completed,0.0,2.0,0,Demolition of Condominium Building - Laurelon Bldg #2(review and process 19 demolition permits under 6254897)
N/NE 45th St,False,lng -122.28401439 E of I-5,4010 NE 45TH ST,6258728-DM,Demolition,Multifamily,2010,2010-12-08,Completed,0.0,4.0,0,Demolition of Condominium Building - Laurelon Bldg #3(review and process 19 demolition permits under 6254897)
N/NE 45th St,False,lng -122.28374802 E of I-5,4014 NE 45TH ST,6258730-DM,Demolition,Multifamily,2010,2010-12-08,Completed,0.0,4.0,0,Demolition of Condominium Building - Laurelon Bldg #5(review and process 19 demolition permits under 6254897)
N/NE 45th St,False,lng -122.28374802 E of I-5,4014 NE 45TH ST,6258731-DM,Demolition,Multifamily,2010,2010-12-08,Completed,0.0,8.0,0,Demolition of Condominium Building - Laurelon Bldg #6(review and process 19 demolition permits under 6254897)
N/NE 45th St,True,,1628 N 45TH ST,6308641-CN,Addition/Alteration,Multifamily,2012,2012-03-29,Completed,1.0,0.0,1.0,Construct alterations to convert existing attic space into new apartment in commercial building and occupy per plan.
N/NE 45th St,False,lng -122.34506034 W of Stone Way,1021 N 45TH ST,6318878-CN,New,Multifamily,2013,2013-02-06,Completed,3.0,0.0,0,Construct 3-unit rowhouse  (associate). (Construct 2 rowhouse structures  per plans. Reviews & processing for 2 a/p#'s u
N/NE 45th St,False,demolition permit (units counted on construction permit),1313 N 45TH ST,6393464-DM,Demolition,Commercial,2014,2014-06-25,Completed,0.0,1.0,0,Demolish existing single family residence per plot plan subject to field inspection (STFI)
N/NE 45th St,False,demolition permit (units counted on construction permit),1317 N 45TH ST,6393465-DM,Demolition,Commercial,2014,2014-06-25,Completed,0.0,1.0,0,Demolish existing single family residence and garage structure per plot plan subject to field inspection (STFI)
N/NE 45th St,False,demolition permit (units counted on construction permit),1321 N 45TH ST,6393466-DM,Demolition,Commercial,2014,2014-06-25,Completed,0.0,1.0,0,Demolish existing single family residence per plot plan subject to field inspection (STFI)
N/NE 45th St,False,demolition permit (units counted on construction permit),1329 N 45TH ST,6393467-DM,Demolition,Commercial,2014,2014-06-25,Completed,0.0,1.0,0,Demolish existing commercial structure  per plot plan subject to field inspection (STFI)
N/NE 45th St,True,,1321 N 45TH ST,6388507-CN,New,Commercial,2014,2014-08-01,Completed,150.0,0.0,150.0,Establish use as apartments and retail sales and service and Construct new mixed use building with below-grade parking/O
N/NE 45th St,False,lng -122.27463538 E of I-5,4847 NE 45TH ST,6433835-DM,Demolition,Single Family/Duplex,2014,2014-11-13,Completed,0.0,1.0,0,Demolish existing single family residence to the foundation.
N/NE 45th St,False,lng -122.27463538 E of I-5,4847 NE 45TH ST,6421393-CN,New,Single Family/Duplex,2014,2014-11-13,Completed,1.0,0.0,0,Establish use and construct new single family residence over partial existing foundation  per plans.
N/NE 45th St,True,,308 NE 45TH ST,6433975-CN,New,Commercial,2014,2014-11-24,Completed,1.0,0.0,1.0,CLOSED AS INCOMPLETE - EXPIRED PERMIT. Construct shoring and excavation for a 24 000 sf mixed use building  per plans  R
N/NE 45th St,True,,324 NE 45TH ST,6251303-CN,New,Commercial,2014,2014-12-17,Completed,1.0,0.0,1.0,Establish use as office  retail  and dwelling unit and construct mixed use building with attached parking  occupy per pl
N/NE 45th St,True,,1701 N 45TH ST,6426981-CN,Addition/Alteration,Commercial,2015,2015-08-24,Expired,3.0,0.0,3.0,Convert accessory storage speace in basement of residential retqail building to 3 new dwelling units with alterations  a
N/NE 45th St,False,demolition permit (units counted on construction permit),1601 N 45TH ST,6479249-DM,Demolition,Commercial,2016,2016-02-18,Completed,0.0,1.0,0,Demolish two retail buildings located on parcel. Subject to field inspection (STFI)
N/NE 45th St,True,,1601 N 45TH ST,6464513-PH,New,Multifamily,2016,2016-10-09,Completed,40.0,0.0,40.0,Construct a new residential and retail building  and occupy per plan.
N/NE 45th St,False,lng -122.35095379 W of Stone Way,612 N 45TH ST,6509911-CN,New,Multifamily,2016,2016-10-13,Completed,5.0,0.0,0,Establish use as and Construct townhouse structure with attached garages  per plan.
N/NE 45th St,False,lng -122.35095379 W of Stone Way,612 N 45TH ST,6529454-DM,Demolition,Single Family/Duplex,2016,2016-10-13,Completed,0.0,1.0,0,Demolish existing single family residence  subject to field inspection (STFI).
